101	Bikers Under Fit Blue	S/M/L/XL/XL	15.00	7	1	2023-03-30
102	Bikers Under Fit Black	S/M/L/XL/XL	15.00	7	1	2023-03-30
103	Bikers Under Fit White	S/M/L/XL/XL	15.00	7	1	2023-03-30
104	Bikers Under Fit Pink	S/M/L/XL/XL	15.00	7	1	2023-03-30
105	Shorts Navy	S/M/L/XL/XL	12.00	7	1	2023-03-30
106	Shorts Blue	S/M/L/XL/XL	12.00	7	1	2023-03-30
107	Shorts Black	S/M/L/XL/XL	12.00	7	1	2023-03-30
108	Shorts White	S/M/L/XL/XL	12.00	7	1	2023-03-30
109	Crop Top Under Fit Pink	S/M/L/XL/XL	15.00	7	1	2023-03-30
110	Crop Top Under Fit Navy	S/M/L/XL/XL	15.00	7	1	2023-03-30
111	Crop Top Under Fit Blue	S/M/L/XL/XL	15.00	7	1	2023-03-30
112	Crop Top Under Fit Black	S/M/L/XL/XL	15.00	7	1	2023-03-30
113	Crop Top Under Fit White	S/M/L/XL/XL	15.00	7	1	2023-03-30
